problem_id,domain,technique,problem,response
1,Education,Zero-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Answer:

A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Question:

A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Answer:

A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Question:

A student has an exam in 7 days and needs"
1,Education,One-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Answer:

Create a study schedule, divide the subjects into smaller topics, review important concepts, practice questions, and take short breaks.

Now answer the following question in a similar way.

Question:

A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Answer:

Create a study schedule, divide the subjects into smaller topics, review important concepts, practice questions, and take short breaks."
1,Education,Few-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Answer:

Create a schedule, divide the subjects, revise regularly,

and practice questions.

Example 3:

Question:

How can a student prepare for an exam?

Answer:

Make a timetable, divide the subjects, revise regularly,

and practice questions.

Example 4:

Question:

How can a student prepare for an exam?

Answer:

Make a schedule, divide the subjects,"
1,Education,Role Prompting,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Solution:

The student will be able to complete the exam in 7 days.

Solution:

The student will be able to complete the exam in 5 days.

Solution:

The student will be able to complete the exam in 4 days.

Solution:

The student will be able to complete the exam in 3 days.

Solution:

The student will be able to complete the exam in 2 days.

Solution:"
1,Education,Structured Reasoning,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Solution:

1. Create a simple study plan.

2. Create a simple study plan.

3. Create a simple study plan.

4. Create a simple study plan.

5. Create a simple study plan.

6. Create a simple study plan.

7. Create a simple study plan.

8. Create a simple study plan.

9. Create a simple study plan.

10. Create a"
2,Healthcare,Zero-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Answer:

A person has a mild headache and wants general information about safe first steps they can consider.

A person has a mild headache and wants general information about safe first steps they can consider.

A person has a mild headache and wants general information about safe first steps they can consider.

A person has a mild headache and wants general information about safe first steps they can consider.

A person has a mild headache and wants general information about safe first steps"
2,Healthcare,One-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Answer:

Ask the person to take a short break.

Now ask the person to take a short break.

Question:

A person has a mild headache and wants general information about safe first steps they can consider.

Answer:

Ask the person to take a short break.

Now ask the person to take a short break.

Question:

A person has a mild headache and wants general information about safe first steps they can"
2,Healthcare,Few-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Answer:

Make a schedule, divide the subjects, revise regularly,

and practice questions.

Example 3:

Question:

How can a student prepare for an exam?

Answer:

Make a schedule, divide the subjects, revise regularly,

and practice questions.

Example 4:

Question:

How can a student prepare for an exam?

Answer:

Make a schedule, divide the subjects,"
2,Healthcare,Role Prompting,A person has a mild headache and wants general information about safe first steps they can consider.,"Solution:

The person has a mild headache and wants general information about safe first steps they can consider.

Give a useful and easy-to-understand answer.

Problem:

A person has a mild headache and wants general information about safe first steps they can consider.

Give a useful and easy-to-understand answer.

Solution:

The person has a mild headache and wants general information about safe first steps they can consider."
2,Healthcare,Structured Reasoning,A person has a mild headache and wants general information about safe first steps they can consider.,"The following are the most common questions that people ask when they are trying to solve a problem.

1. What is the problem?

2. What is the problem?

3. What is the problem?

4. What is the problem?

5. What is the problem?

6. What is the problem?

7. What is the problem?

8. What is the problem?

9. What is the"
3,Finance,Zero-shot,"A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.","How much does it cost to create a monthly budget?

Answer:

A college student earns Rs. 10,000 per month and wants to create a simple monthly budget. How much does it cost to create a monthly budget?

A college student earns Rs. 10,000 per month and wants to create a simple monthly budget. How much does it cost to create a monthly budget?

A college student earns Rs. 10,000 per month and wants to create a simple"
3,Finance,One-shot,"A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.","Answer:

Create a study schedule, divide the subjects into smaller topics, review important concepts, practice questions, and take short breaks.

Now answer the following question in a similar way.

Question:

A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.

Answer:

Create a study schedule, divide the subjects into smaller topics, review important concepts, practice questions, and take short breaks."
3,Finance,Few-shot,"A college student earns Rs. 10,000 per month and wants to create a simple monthly budget.","Answer:

Make a budget, set a savings target, and track spending.

Example 3:

Question:

How can a student manage their monthly expenses?

Answer:

Make a budget, set a savings target, and track spending.

Example 4:

Question:

How can a student manage their monthly expenses?

Answer:

Make a budget, set a savings target, and track spending.

Example"
