problem_id,domain,technique,problem,prompt
1,Education,Zero-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Answer the following question clearly and simply.

Question:
A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan."
1,Education,One-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Here is an example:

Question:
How can a student prepare for an exam?

Answer:
Create a study schedule, divide the subjects into smaller topics,
review important concepts, practice questions, and take short breaks.

Now answer the following question in a similar way.

Question:
A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan."
1,Education,Few-shot,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Example 1:

Question:
How can a student prepare for an exam?

Answer:
Make a timetable, divide the subjects, revise regularly,
and practice questions.

Example 2:

Question:
How can someone manage their monthly expenses?

Answer:
List income and expenses, prioritize essential expenses,
set a savings target, and track spending.

Now answer this question:

Question:
A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan."
1,Education,Role Prompting,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"You are an experienced professional who gives practical,
clear and beginner-friendly advice.

Your task is to answer the following problem.

Problem:
A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Give a useful and easy-to-understand answer."
1,Education,Structured Reasoning,A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.,"Analyze the problem using these steps:

1. Identify the main problem.
2. Identify the important factors.
3. Suggest practical options.
4. Give a final recommendation.

Problem:
A student has an exam in 7 days and needs to prepare for five subjects. Create a simple study plan.

Keep the answer clear and concise."
2,Healthcare,Zero-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Answer the following question clearly and simply.

Question:
A person has a mild headache and wants general information about safe first steps they can consider."
2,Healthcare,One-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Here is an example:

Question:
How can a student prepare for an exam?

Answer:
Create a study schedule, divide the subjects into smaller topics,
review important concepts, practice questions, and take short breaks.

Now answer the following question in a similar way.

Question:
A person has a mild headache and wants general information about safe first steps they can consider."
2,Healthcare,Few-shot,A person has a mild headache and wants general information about safe first steps they can consider.,"Example 1:

Question:
How can a student prepare for an exam?

Answer:
Make a timetable, divide the subjects, revise regularly,
and practice questions.

Example 2:

Question:
How can someone manage their monthly expenses?

Answer:
List income and expenses, prioritize essential expenses,
set a savings target, and track spending.

Now answer this question:

Question:
A person has a mild headache and wants general information about safe first steps they can consider."
2,Healthcare,Role Prompting,A person has a mild headache and wants general information about safe first steps they can consider.,"You are an experienced professional who gives practical,
clear and beginner-friendly advice.

Your task is to answer the following problem.

Problem:
A person has a mild headache and wants general information about safe first steps they can consider.

Give a useful and easy-to-understand answer."
2,Healthcare,Structured Reasoning,A person has a mild headache and wants general information about safe first steps they can consider.,"Analyze the problem using these steps:

1. Identify the main problem.
2. Identify the important factors.
3. Suggest practical options.
4. Give a final recommendation.

Problem:
A person has a mild headache and wants general information about safe first steps they can consider.

Keep the answer clear and concise."
